node,X,Z,classe
958,10.883393213,-36.210356179,4
959,11.087898455,-36.614891625,4
960,11.083816607,-37.062013783,4
961,10.873242981,-37.4613008,4
962,10.50061323,-37.719515339,4
963,10.048380503,-37.776014577,8
964,9.6150251208,-37.611203902,4
965,9.3145066873,-37.268676927,4
966,9.312955705,-40.204324421,4
967,9.6090714967,-39.862985107,4
968,10.035362485,-39.69560803,8
969,10.493706101,-39.74787037,8
970,10.873744881,-40.009266701,4
971,11.083468045,-40.406602694,4
972,11.088967657,-40.850442607,4
973,10.886831658,-41.255606941,4
974,10.504403556,-41.528054632,4
975,10.042912426,-41.585355227,8
976,9.6106101164,-41.41810399,4
977,9.3130784327,-41.075914027,4
978,9.3134477081,-44.013369501,4
979,9.6131493574,-43.67010858,4
980,10.041637865,-43.504803081,20
981,10.500938537,-43.5606093,18
982,10.878848969,-43.82509009,4
983,11.085295673,-44.223957206,4
984,11.086793202,-44.669821859,4
985,10.875949189,-45.078230057,4
986,10.502870635,-45.338647622,8
987,10.041571685,-45.395188651,20
988,9.6137911276,-45.230341225,4
989,9.3137759546,-44.887266119,4
990,9.3310674745,-47.790789965,4
991,9.6848402926,-47.434442233,8
992,10.161617451,-47.307467229,20
993,10.641880253,-47.43838882,18
994,10.986578244,-47.786692773,4
995,11.112474733,-48.253062115,18
996,10.993694465,-48.720657352,4
997,10.655457858,-49.073495614,8
998,10.176858739,-49.212379585,12
999,9.6945999586,-49.09110335,18
1000,9.3307461021,-48.728642014,29
1001,9.330652438,-51.601523707,4
1002,9.70225586,-51.234651957,20
1003,10.181829115,-51.117723053,12
1004,10.659406557,-51.258922489,18
1005,10.995439321,-51.612514576,29
1006,11.112452334,-52.079529191,18
1007,10.986580109,-52.543303972,4
1008,10.640838198,-52.892221461,12
1009,10.15948457,-53.022534777,21
1010,9.6795832111,-52.892507187,18
1011,9.3312948979,-52.539611455,29
1012,9.3133130617,-55.443630571,4
1013,9.6119377614,-55.100959909,15
1014,10.037098069,-54.935381159,2
1015,10.495705894,-54.988620982,19
1016,10.874816691,-55.250481655,18
1017,11.085580724,-55.655127306,4
1018,11.086795542,-56.099811995,4
1019,10.883443391,-56.499585237,12
1020,10.507672863,-56.766779769,25
1021,10.047664268,-56.82593004,2
1022,9.6169224692,-56.662524686,18
1023,9.3142028487,-56.318091014,29
1024,9.3145694973,-59.251202076,29
1025,9.6158844694,-58.908197042,15
1026,10.048758757,-58.743941001,25
1027,10.504399789,-58.801943907,15
1028,10.883481364,-59.070459105,18
1029,11.087890618,-59.47485782,29
1030,11.083840962,-59.921916784,29
1031,10.873308741,-60.321226496,12
1032,10.500702429,-60.579481177,25
1033,10.04847709,-60.636025935,6
1034,9.6151019995,-60.471257552,20
1035,9.3145076771,-60.128678835,29
1036,9.3128983913,-63.064435832,8
1037,9.6088624859,-62.723133405,15
1038,10.034980509,-62.555658398,28
1039,10.493219924,-62.607688659,25
1040,10.873316136,-62.868781861,18
1041,11.083285779,-63.265882701,19
1042,11.089145865,-63.709654314,14
1043,10.886583315,-64.115900037,12
1044,10.504109712,-64.388168537,22
1045,10.043673579,-64.445448933,28
1046,9.6104194321,-64.277969264,0
1047,9.3130313671,-63.935822603,14
1048,-17.627190759,-10.031936414,16
1049,-17.94821522,-10.379902722,9
1050,-18.387518984,-10.511364078,9
1051,-18.846048296,-10.380351298,9
1052,-19.165196308,-10.03215521,9
1053,-19.281728358,-9.5592560537,16
1054,-19.165516648,-9.0862558378,16
1055,-18.846550651,-8.7377732905,9
1056,-18.387460621,-8.6064428947,9
1057,-17.948190826,-8.737918863,9
1058,-17.627127036,-9.085988979,16
1059,-19.968637723,-12.541382008,9
1060,-20.246900994,-12.882760776,0
1061,-20.638291082,-13.044505664,0
1062,-21.053321035,-12.98943501,0
1063,-21.396120361,-12.730479464,0
1064,-21.589331731,-12.327118732,9
1065,-21.589535655,-11.871562359,9
1066,-21.396690874,-11.468032873,9
1067,-21.054103228,-11.208696082,0
1068,-20.639221495,-11.153178048,9
1069,-20.246883216,-11.315058779,9
1070,-19.968636536,-11.65642665,9
1071,-17.627213869,-13.84197963,9
1072,-17.948288352,-14.189948831,0
1073,-18.387640223,-14.321365665,9
1074,-18.845782327,-14.190519671,0
1075,-19.165028195,-13.842472219,9
1076,-19.281728203,-13.369569677,9
1077,-19.165628679,-12.896467608,9
1078,-18.846701915,-12.547869254,9
1079,-18.387575904,-12.416441377,9
1080,-17.948238069,-12.547889073,9
1081,-17.627149705,-12.895946575,9
1082,-19.9686985,-16.351527609,0
1083,-20.246860442,-16.692714214,8
1084,-20.638476569,-16.854451204,0
1085,-21.053365544,-16.799417323,0
1086,-21.396165323,-16.540480786,0
1087,-21.589350551,-16.137057174,9
1088,-21.589518503,-15.681501315,9
1089,-21.396535407,-15.277840309,0
1090,-21.053727365,-15.018539847,0
