node,X,Y,Z,classe
763,-27.347095966,9.5813266371,-61.132917913,5
764,-27.347095966,9.5813266371,-62.426837044,5
765,-27.347095966,9.5813266371,-63.933683524,5
766,-27.347095966,9.5813266371,-65.300847099,1
767,-27.347095966,9.5813266371,-66.545544767,7
768,-26.059534749,8.8664054913,0.0,0
769,-24.907586928,8.2563096198,0.0,0
770,-23.669571922,7.6307523281,0.0,0
771,-22.358878027,7.0014581293,0.0,0
772,-21.052428967,6.4069722657,0.0,0
773,-19.825527575,5.8776725679,0.0,0
774,-18.709569793,5.4200647606,0.0,0
775,-17.50493525,4.9510872611,0.0,0
776,-16.037780143,4.4143765581,0.0,0
777,-14.836729144,4.0028386465,0.0,0
778,-13.54341223,3.5874816195,0.0,0
779,-12.263118717,3.2046353677,0.0,5
780,-11.003531834,2.8555728343,0.0,5
781,-9.7196961883,2.5282007306,0.0,5
782,-8.3857505579,2.2188741171,0.0,5
783,-7.2160773466,1.9739592736,0.0,1
784,-5.8370554131,1.7175178095,0.0,1
785,-4.4992911165,1.5030442135,0.0,1
786,-3.0350189512,1.3082402054,0.0,1
787,-1.8435688192,1.1815568981,0.0,5
788,-0.64936756411,1.0841953309,0.0,5
789,0.66599842984,1.0124160207,0.0,5
790,1.9826375022,0.97911258415,0.0,5
791,3.2774182451,0.98535691424,0.0,5
792,4.5001280985,1.0280349067,0.0,0
793,5.671697954,1.1036031946,0.0,0
794,7.1598022866,1.2502693173,0.0,0
795,8.3285095134,1.4065877054,0.0,0
796,9.6698944259,1.6321607019,0.0,0
797,10.973056808,1.9000974687,0.0,0
798,12.140394855,2.1822440697,0.0,0
799,13.399225438,2.5324877033,0.0,0
800,14.627439229,2.9215461232,0.0,0
801,15.87658457,3.3665907727,0.0,0
802,17.009523428,3.8144703905,0.0,0
803,18.294903225,4.3749773543,0.0,0
804,19.422884028,4.9139104679,0.0,0
805,20.569355063,5.507923491,0.0,0
806,21.652337421,6.1128815415,0.0,0
807,22.827967638,6.8189450207,0.0,0
808,23.881683926,7.4964487477,0.0,0
809,25.016186427,8.2741812582,0.0,0
810,26.034443655,9.0157948286,0.0,0
811,27.025109654,9.7777240267,-1.1221519376,0
812,27.025109654,9.7777240267,-2.262621128,0
813,27.025109654,9.7777240267,-3.302392093,0
814,27.025109654,9.7777240267,-4.4396367048,0
815,27.025109654,9.7777240267,-5.6284274998,0
816,27.025109654,9.7777240267,-6.813737678,0
817,27.025109654,9.7777240267,-8.0711052415,0
818,27.025109654,9.7777240267,-9.2215413542,0
819,27.025109654,9.7777240267,-10.238145497,0
820,27.025109654,9.7777240267,-11.305877844,0
