node,X,Z,classe
929,9.6945997544,-26.231103236,22
930,9.3307460448,-25.868641913,22
931,9.330728913,-28.741388393,11
932,9.7015056925,-28.375063822,22
933,10.181035036,-28.257704916,22
934,10.658782276,-28.398538434,11
935,10.995180239,-28.752041789,22
936,11.112455954,-29.219160215,40
937,10.986735811,-29.683031955,40
938,10.641058269,-30.032092724,11
939,10.159677759,-30.162534792,22
940,9.6796927834,-30.032571227,22
941,9.3313259569,-29.679666242,14
942,9.3132565096,-32.58374028,38
943,9.6118063607,-32.241052407,11
944,10.036706534,-32.075432056,22
945,10.495213047,-32.128435519,22
946,10.874529758,-32.390155993,38
947,11.08578402,-32.795965768,22
948,11.086626354,-33.240524166,11
949,10.883037041,-33.64005939,11
950,10.507196721,-33.906966304,11
951,10.04728275,-33.965884784,22
952,9.6167150318,-33.802380616,14
953,9.3141452084,-33.457979749,14
954,9.314578839,-36.391184083,38
955,9.6158996801,-36.048186452,38
956,10.048841383,-35.883931317,22
957,10.504275179,-35.94189559,22
958,10.883393213,-36.210356179,14
959,11.087898455,-36.614891625,38
960,11.083816607,-37.062013783,38
961,10.873242981,-37.4613008,38
962,10.50061323,-37.719515339,38
963,10.048380503,-37.776014577,22
964,9.6150251208,-37.611203902,14
965,9.3145066873,-37.268676927,14
966,9.312955705,-40.204324421,14
967,9.6090714967,-39.862985107,14
968,10.035362485,-39.69560803,22
969,10.493706101,-39.74787037,14
970,10.873744881,-40.009266701,14
971,11.083468045,-40.406602694,14
972,11.088967657,-40.850442607,14
973,10.886831658,-41.255606941,38
974,10.504403556,-41.528054632,22
975,10.042912426,-41.585355227,24
976,9.6106101164,-41.41810399,14
977,9.3130784327,-41.075914027,14
978,9.3134477081,-44.013369501,14
979,9.6131493574,-43.67010858,14
980,10.041637865,-43.504803081,24
981,10.500938537,-43.5606093,43
982,10.878848969,-43.82509009,14
983,11.085295673,-44.223957206,14
984,11.086793202,-44.669821859,14
985,10.875949189,-45.078230057,4
986,10.502870635,-45.338647622,22
987,10.041571685,-45.395188651,8
988,9.6137911276,-45.230341225,14
989,9.3137759546,-44.887266119,14
990,9.3310674745,-47.790789965,4
991,9.6848402926,-47.434442233,14
992,10.161617451,-47.307467229,8
993,10.641880253,-47.43838882,43
994,10.986578244,-47.786692773,14
995,11.112474733,-48.253062115,43
996,10.993694465,-48.720657352,14
997,10.655457858,-49.073495614,14
998,10.176858739,-49.212379585,8
999,9.6945999586,-49.09110335,43
1000,9.3307461021,-48.728642014,14
1001,9.330652438,-51.601523707,14
1002,9.70225586,-51.234651957,8
1003,10.181829115,-51.117723053,25
1004,10.659406557,-51.258922489,43
1005,10.995439321,-51.612514576,14
1006,11.112452334,-52.079529191,43
1007,10.986580109,-52.543303972,14
1008,10.640838198,-52.892221461,26
1009,10.15948457,-53.022534777,25
1010,9.6795832111,-52.892507187,43
1011,9.3312948979,-52.539611455,14
1012,9.3133130617,-55.443630571,38
1013,9.6119377614,-55.100959909,19
1014,10.037098069,-54.935381159,19
1015,10.495705894,-54.988620982,30
1016,10.874816691,-55.250481655,41
1017,11.085580724,-55.655127306,4
1018,11.086795542,-56.099811995,14
1019,10.883443391,-56.499585237,26
1020,10.507672863,-56.766779769,44
1021,10.047664268,-56.82593004,19
1022,9.6169224692,-56.662524686,43
1023,9.3142028487,-56.318091014,4
1024,9.3145694973,-59.251202076,4
1025,9.6158844694,-58.908197042,19
1026,10.048758757,-58.743941001,20
1027,10.504399789,-58.801943907,34
1028,10.883481364,-59.070459105,41
1029,11.087890618,-59.47485782,28
1030,11.083840962,-59.921916784,28
1031,10.873308741,-60.321226496,30
1032,10.500702429,-60.579481177,35
1033,10.04847709,-60.636025935,45
1034,9.6151019995,-60.471257552,43
1035,9.3145076771,-60.128678835,4
1036,9.3128983913,-63.064435832,22
1037,9.6088624859,-62.723133405,19
1038,10.034980509,-62.555658398,1
1039,10.493219924,-62.607688659,34
1040,10.873316136,-62.868781861,41
1041,11.083285779,-63.265882701,46
1042,11.089145865,-63.709654314,3
1043,10.886583315,-64.115900037,30
1044,10.504109712,-64.388168537,17
1045,10.043673579,-64.445448933,1
1046,9.6104194321,-64.277969264,25
1047,9.3130313671,-63.935822603,48
1048,-17.627190759,-10.031936414,9
1049,-17.94821522,-10.379902722,27
1050,-18.387518984,-10.511364078,27
1051,-18.846048296,-10.380351298,27
1052,-19.165196308,-10.03215521,9
1053,-19.281728358,-9.5592560537,9
1054,-19.165516648,-9.0862558378,49
1055,-18.846550651,-8.7377732905,9
1056,-18.387460621,-8.6064428947,27
1057,-17.948190826,-8.737918863,27
1058,-17.627127036,-9.085988979,9
1059,-19.968637723,-12.541382008,27
1060,-20.246900994,-12.882760776,0
1061,-20.638291082,-13.044505664,0
1062,-21.053321035,-12.98943501,0
1063,-21.396120361,-12.730479464,0
1064,-21.589331731,-12.327118732,9
1065,-21.589535655,-11.871562359,9
1066,-21.396690874,-11.468032873,27
1067,-21.054103228,-11.208696082,0
1068,-20.639221495,-11.153178048,27
1069,-20.246883216,-11.315058779,27
1070,-19.968636536,-11.65642665,9
1071,-17.627213869,-13.84197963,9
1072,-17.948288352,-14.189948831,0
1073,-18.387640223,-14.321365665,18
1074,-18.845782327,-14.190519671,0
1075,-19.165028195,-13.842472219,27
1076,-19.281728203,-13.369569677,9
1077,-19.165628679,-12.896467608,27
1078,-18.846701915,-12.547869254,27
1079,-18.387575904,-12.416441377,27
1080,-17.948238069,-12.547889073,27
1081,-17.627149705,-12.895946575,27
1082,-19.9686985,-16.351527609,0
1083,-20.246860442,-16.692714214,24
1084,-20.638476569,-16.854451204,0
1085,-21.053365544,-16.799417323,0
1086,-21.396165323,-16.540480786,0
1087,-21.589350551,-16.137057174,27
1088,-21.589518503,-15.681501315,27
1089,-21.396535407,-15.277840309,0
1090,-21.053727365,-15.018539847,0
1091,-20.638605585,-14.96325901,0
1092,-20.247068273,-15.124919821,0
1093,-19.968677828,-15.466341226,27
1094,-17.624814523,-17.647464591,27
1095,-17.948003775,-17.99976935,24
1096,-18.38257994,-18.131284278,18
1097,-18.849171442,-17.998364071,0
1098,-19.164306381,-17.653830141,0
1099,-19.281701728,-17.18631636,27
1100,-19.171056393,-16.716881812,0
1101,-18.845320635,-16.356994574,24
1102,-18.390778105,-16.226405652,18
1103,-17.955170522,-16.353562937,0
1104,-17.629985012,-16.700681975,27
1105,-19.968367791,-20.160842917,24
1106,-20.245661359,-20.501812348,22
1107,-20.63635814,-20.664167917,18
1108,-21.050714484,-20.610511598,0
1109,-21.397868197,-20.348368105,40
1110,-21.589797617,-19.94506075,27
1111,-21.589234877,-19.490240168,27
1112,-21.3962484,-19.087485091,24
1113,-21.053998408,-18.82865249,24
1114,-20.639602732,-18.773128177,18
1115,-20.248486608,-18.933857318,0
1116,-19.968352559,-19.277014708,27
1117,-17.625593524,-21.458936781,0
