node,sig
9176,282.0456189501958
9177,282.50666244576837
9184,283.92294309570826
9185,282.68694880053283
9186,282.2709769634244
9187,281.9109913198058
9188,281.37407234009834
9189,280.898108767618
9190,280.3151911183591
9191,279.84518072515993
9192,279.3544194469306
9193,278.5559277420557
9194,277.18960560994367
9195,275.70852414499086
9196,273.78843081325164
9197,272.11561626316336
9198,270.58338827144007
9199,269.1606837818898
9215,262.9785373670545
9216,266.51801485233386
9217,271.85703459981846
9218,276.0894405336169
9219,278.6699877478523
9225,280.47322845621534
9226,275.77648386996304
9231,280.0250385343963
9232,279.82558900408765
9233,279.7338130331095
9234,280.7410618270224
9235,280.3777989754608
9236,279.6870034468918
9237,279.0934555839691
9238,278.38399179430684
9239,277.4032619571095
9240,276.4025530518345
9241,275.37992230669397
9242,274.3195100257462
9243,273.35773071020895
9244,272.4516055668586
9245,271.49462796486
9246,270.581689921164
9247,269.6568427269476
9248,268.5836445772943
9249,267.5254453119553
9250,266.62391189866327
9268,267.05236309549827
9269,272.2320924900203
9270,274.8129516205045
9271,284.49364327084766
9280,281.3834542170167
9281,280.5640268985608
9282,281.8314242902198
9283,281.01053270272257
9284,284.3814950207818
9285,281.5182600925562
9286,282.5045593115673
9287,271.8995543305568
9291,280.7326402668999
9292,283.91572087025446
9293,282.6549631673485
9294,282.03264109099723
9295,281.5748400738422
9296,280.90226235548664
9297,280.59513886421513
9298,279.8744309039327
9299,279.4119569111991
9300,274.8911238875984
9301,270.52069518328904
9303,278.39997298617465
9304,276.04744988491535
9305,272.7041379137594
9307,271.19947885787064
9308,273.4964258266125
9309,269.16493249341113
9328,264.94428746236855
9329,271.8210994494732
9330,278.84564220870686
9335,280.4889368966071
9338,281.10059692337245
9384,279.74938127915345
9385,280.4272728319492
9387,280.8309847543527
9388,278.68044153521134
9389,278.94218781636346
9390,278.61579619063355
9391,277.8787413008728
9392,277.96466179522656
9393,276.9703354596268
9394,273.9050501657511
9395,275.2314971161687
9396,279.1895509867988
9397,280.03257252101844
9398,280.70191314274234
9399,278.6090629879335
9400,278.9310930720919
9401,274.9569869319762
9402,276.14998976333146
9403,275.96191011463486
9404,276.244398122836
9405,275.25615066103387
9406,272.84628393222704
9407,272.6815101509382
9408,276.07418790125325
9409,279.04791555577344
9410,279.28024134586553
9411,274.98401887385336
9412,277.3200567101924
9413,271.1103260841943
9414,274.2836247559075
9415,274.05486412855123
9416,273.13288924550113
9417,272.39270342264973
9418,270.4491000440372
9419,269.6725444716143
9420,273.6464009390369
9421,276.8573492289388
9422,276.0626626976698
9423,269.89616622536016
9424,274.11046876455714
9426,271.50933630991824
9427,271.4395156112199
9428,269.7737261639783
9429,269.40546110216656
9432,269.59934472104686
9433,273.551318041102
9434,270.99581063251435
9436,269.5944191524384
9527,267.85852958303843
9533,267.9517928322101
9540,267.6404083048195
9551,281.9463784842295
9563,281.3067094326921
9564,279.6194876267255
9565,280.93942472537765
9566,281.2787460612502
9567,281.16411548363203
9568,281.25389011359044
9569,281.2845578775789
9570,281.278994164462
9571,281.5531098447194
9572,282.73936509416114
9573,282.1852884653339
9574,281.3456733443705
9575,274.6224077576469
9576,276.0803202455871
9577,279.54055409186515
9578,279.8969922471449
9579,281.08238344369636
9580,280.76328912655066
9581,280.62393032071725
9582,279.9121072727119
9583,275.39116542684997
9584,279.4764576517222
9585,280.275639673416
9586,280.73418593795964
9587,282.0606274571363
9588,281.6948538111344
9589,279.25560030323925
9590,270.043166704316
9591,272.2087009113859
9592,276.5266357380932
9593,276.6002682238063
9594,277.9501124400734
9595,278.80081989692155
9596,276.4863433435404
9597,276.16177734246105
9598,278.5058342342163
9599,273.204614677467
9600,278.767215551473
9601,281.2513411925171
9602,278.25132848186956
9603,276.9783384124047
9605,269.8451772548549
9606,274.2393415300164
9607,273.0954784822894
9608,272.9544263818909
9609,275.9396027522607
9610,272.48959205629467
9611,274.73127192701656
9612,276.01311885772077
9614,276.68918198593957
9615,275.69386675096104
9616,277.88619094594344
9617,278.37350717197165
9618,273.23755996941185
9619,274.4893192708288
9622,270.91707304689606
9623,269.39132396486565
9624,271.2677520429188
9625,273.28442355999937
9627,271.98838683907115
9630,271.2932373261076
9631,274.4413109065192
9632,275.680611586409
9633,269.9417065210795
9634,272.9436380180582
9638,269.39744441243965
9639,270.71682454981396
9640,271.0857121917629
9642,273.47093448297903
9643,270.46870390545007
9644,273.6720443153389
9645,272.46123207316583
9647,272.72210931967004
9652,268.46473837063036
9655,270.49707805381996
9659,272.4684026344979
9660,270.3035114646899
9662,275.2628692652694
9670,272.420332758315
9672,267.64152787067366
9673,268.52906408212334
9674,274.03550817491924
9675,269.45435386700115
9677,280.6598030814497
9682,266.04279738563423
9685,272.7495670232104
9686,271.971309114729
9688,276.75706525427853
9689,270.13079021912733
9696,268.45723709880895
9699,272.61574453837045
9700,279.2366191330484
9701,281.71933297788667
9702,277.802192228908
9703,278.3277519741404
9704,279.7374702417759
9705,269.55962769312396
9706,274.7669704024275
9708,288.4522749281075
9709,267.3223870407217
9711,268.291418750641
9712,271.35824458637114
9715,279.5942948987938
9720,277.7543492306089
9721,276.0241055582195
9723,268.48825738164373
9725,275.9629306683533
9726,276.69609181600845
9731,284.4851355543195
9732,280.1659646346425
9734,277.34487485927355
9735,284.0911568094426
9739,271.44367469338624
9740,283.8712947600227
9741,282.06936443648135
9749,279.1692526929718
9753,275.5354947532153
9754,282.1914053634704
9756,283.49662734789416
9763,274.64493204888913
9772,282.24360341630165
9776,277.69040471823035
9790,277.6508051685174
9791,279.0320832383496
9792,282.4114816618645
9793,283.099006130949
9794,282.22521901337524
9795,281.8183310727728
9796,281.25758744012944
9797,269.8383886168715
9798,278.97669258696067
9799,278.6418302654153
9800,276.83997185944423
9801,274.26430414143533
9803,268.5122636429734
9814,263.0277964677965
9815,267.7752222579628
9816,276.4317433543837
9817,280.5884296038542
9820,282.2175563382197
9830,283.46962495499236
9832,267.787103370277
9836,284.72985251618195
9839,275.35618492799716
9843,280.99808275833504
9844,273.97673909327204
9846,274.76194797993276
9850,264.87598898549106
9851,275.04836884455165
9854,272.68681968485123
9855,280.991095619189
9860,268.231960835689
9863,279.42158984967966
9868,281.93740851147993
9870,276.11808071687324
9871,280.14829914604195
9877,274.686211524001
9879,274.14314899123883
9880,277.5760686874083
9883,266.19107415383985
9886,269.66422086564774
9888,273.89657960073504
9889,274.7900717557891
9891,267.1391337166799
9893,269.3013189077585
9895,275.0107824749042
9896,274.3473614271712
9897,268.9971271696643
9900,269.6462091625358
9901,272.14179876479375
9902,276.9199478548472
9904,275.4217039655793
9905,271.98134829158926
9906,272.77423760988404
9907,269.03368625541225
9908,271.66939714877856
9909,275.46499992869417
9910,279.4554116780388
9911,274.9577643021271
9912,275.55979849007474
9913,272.9614300124739
9914,275.1031781574744
9915,281.21349975330065
9916,274.88653441116384
9917,278.64871348618055
9918,279.32581967361244
9919,276.1596212633365
9920,277.8010359814878
9921,278.41065294199694
9922,282.0475724099663
9923,281.8162777795302
9924,281.1798362385851
9925,279.44321371340396
9926,280.7080642014282
9927,281.01549737126015
9928,280.4411234228038
9929,279.8361311043177
9930,280.43744143379024
9931,281.55065609672704
9932,282.69541146616086
9933,282.3174864906465
9934,281.54842766501775
9935,281.43446864290456
9936,281.2112381264193
9937,281.8406074763144
9941,282.06767630043885
9986,279.7147321082563
9990,280.33139377050344
9997,271.0519014978565
9999,272.38892257144937
10000,272.2969884797799
10002,270.3847810680775
10004,275.9204301832485
10005,276.4249983567938
10006,273.11842865477263
10007,272.8679954237821
10008,278.61900676690414
10009,278.5748969098005
10010,279.9870948401434
10012,280.31893797802235
10015,280.21308000433726
10016,278.23441196217925
10017,281.37324607835365
10018,280.03132774741584
10019,280.4372962395893
10020,281.01605359622175
10021,280.64284387314376
10022,279.42817970057285
10023,276.8124928911451
10024,275.49735630480063
10025,273.39670196932366
10026,271.23077784587076
10027,270.32918463157534
10028,267.4784274004073
10039,284.9389483598329
10042,282.50583878510975
10046,278.81992665190205
10048,273.1740781794231
10049,283.05606364847904
10050,282.7275342439094
10051,281.9875216611292
10052,281.7848962500221
10053,270.5915706926022
10054,280.8533649666831
10055,268.55107344452404
10056,265.8682695877526
10057,275.4454018966618
10058,280.58693534705117
10060,269.2192503043202
10061,279.5765959815285
10073,281.49682380927067
10074,280.1079159956291
10075,281.2864254493338
10076,277.7757218672293
10077,280.44138323369106
10120,276.68391869479774
10123,282.04716900103506
10128,279.10767212315767
10131,274.86266273030003
10132,272.8516219368428
10133,272.7389562670208
10134,275.5122546848206
10135,272.19020909441554
10136,270.1191856738443
10137,269.3226415608739
10154,263.325320999846
10155,278.90168255147046
10156,261.669480663155
10161,277.68133025475396
10162,281.33419074801907
10163,277.04340018874086
10164,281.0039250855534
10165,277.4641979208282
10167,274.27935548861797
10168,280.7761761462066
10169,271.4909345063852
10170,270.665011515925
